Voltage ; Angle ; Time ; Step
Voltage Value: 5.700000 ; Angle Value: 132.131149 ; Time Value Ms: 6195.000000; Step: 19 
Voltage Value: 12.000000 ; Angle Value: 143.278687 ; Time Value Ms: 6200.000000; Step: 20 
Voltage Value: 12.000000 ; Angle Value: 141.420761 ; Time Value Ms: 6205.000000; Step: 20 
Voltage Value: 12.000000 ; Angle Value: 129.836060 ; Time Value Ms: 6210.000000; Step: 21 
Voltage Value: 12.000000 ; Angle Value: 148.524597 ; Time Value Ms: 6215.000000; Step: 21 
Voltage Value: 12.000000 ; Angle Value: 144.590164 ; Time Value Ms: 6220.000000; Step: 22 
Voltage Value: 12.000000 ; Angle Value: 124.699455 ; Time Value Ms: 6225.000000; Step: 22 
Voltage Value: 12.000000 ; Angle Value: 146.557373 ; Time Value Ms: 6230.000000; Step: 23 
Voltage Value: 12.000000 ; Angle Value: 147.431686 ; Time Value Ms: 6235.000000; Step: 23 
Voltage Value: 12.000000 ; Angle Value: 134.644806 ; Time Value Ms: 6240.000000; Step: 24 
Voltage Value: 12.000000 ; Angle Value: 135.737701 ; Time Value Ms: 6245.000000; Step: 24 
Voltage Value: 12.000000 ; Angle Value: 145.136612 ; Time Value Ms: 6250.000000; Step: 25 
Voltage Value: 12.000000 ; Angle Value: 142.732239 ; Time Value Ms: 6255.000000; Step: 25 
